(201, 206)
(273, 181)
(251, 280)
(697, 203)
(768, 184)
(725, 289)
(1205, 212)
(1272, 186)
(1257, 293)
(1613, 204)
(1682, 178)
(1661, 250)
(1616, 726)
(1684, 704)
(1646, 794)
(1207, 728)
(1279, 702)
(1257, 793)
(696, 719)
(766, 696)
(765, 785)
(196, 719)
(267, 696)
(247, 791)
(242, 296)
(23, 145)
(445, 401)
(233, 206)
(732, 285)
(519, 143)
(940, 401)
(728, 203)
(1238, 294)
(1028, 148)
(1450, 408)
(1233, 213)
(1682, 284)
(1436, 143)
(1856, 401)
(1642, 203)
(1682, 800)
(1434, 662)
(1859, 920)
(1642, 727)
(1243, 804)
(1034, 665)
(1458, 924)
(1238, 728)
(725, 794)
(522, 654)
(943, 912)
(727, 718)
(231, 813)
(23, 656)
(443, 914)
(226, 719)
